Name used,Year,Latitude,Longitude,Catalog No.,Information
,,,,,Portal: GBIF. Source: AM
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-11.7,166.83,0000-7992,Portal: GBIF. Source: MNHN
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-11.7,166.83,1894-0368,Portal: GBIF. Source: MNHN
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-11.7,166.83,MNHN 0000-7992,vanikoro(i.) 
,,,,,Portal: GBIF. Source: mnhn
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,-11.7,166.83,MNHN 1894-0368,vanikoro(i.) 
,,,,,Portal: GBIF. Source: mnhn
,,,,,Data from GBIF data index - original values.
Amphiprion percula,,11.71,166.85,CAS 44568,Shore reef. Dip-netted out of lg. anemone (D=1.5-2 ft.) 
,,,,,Portal: GBIF. Source: CAS
,,,,,Data from GBIF data index - original values.
"Amphiprion tunicatus Cuvier, 1830",,-11.62,166.97,FB 2741472,"Vanikoro I., Santa Cruz Is., sw. Pacific, 11°37'S, 166°58'E. "
,,,,,Portal: FB. Source: FB
Amphiprion percula,1998,-9.86,167.16,385332.5304,"Solomon Islands, Santa Cruz Islands, Duff Islands, NW Point of Taumako Island, Just North of Pangave Point On Outer Reef Slope "
,,,,,Portal: GBIF. Source: USNM
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-13.57,-172.32,A 25235 001,Portal: OBIS. Source: mv
,,,,,no
Paracanthurus hepatus,,-13.6,-172.3,A25235001,Portal: GBIF. Source: NMV
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,41.35,-70.48,2140,Portal: GBIF. Source: Smithsonian Environmental Research Center
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,41.35,-70.48,2140,Portal: GBIF. Source: WoodsHoleBioSurvey
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,17,-65,2001-3004,Portal: GBIF. Source: MNHN
,,,,,Data from GBIF data index - original values.
ACANTHURUS HEPATUS,,32.2,-64.6,AMNH 1778,"NEW YORK AQUARIUM, NO FURTHER DATA "
,,,,,Portal: FB. Source: AMNH
Paracanthurus hepatus,1993,-7.43,0,SAMC-MBF-005657,Palau 
,,,,,Portal: GBIF. Source: SAMC
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1962,22.48,22.48,4401,"Dong-kung, Pingtung, Taiwan "
,,,,,Portal: GBIF. Source: NMMB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-26.02,32.97,10388,Inhaca Island 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-26.02,32.97,RUSI 10388,Inhaca Island 
,,,,,Portal: GBIF. Source: RUSI
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1971,-26.02,32.97,SAIAB-010749,Portal: OBIS. Source: SAIAB
Paracanthurus hepatus,,-26.02,32.97,SAIAB-010749,Inhaca Island 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1967,-4.05,39.67,9813,"INDISCHER OZEAN, W-, KENIA, SSO-, MOMBASA* , "
,,,,,Portal: GBIF. Source: SMF
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1954,-7.85,39.78,SAIAB-010846,Portal: OBIS. Source: SAIAB
Paracanthurus hepatus,1954,-7.85,39.78,SAIAB-010846,Mafia Island 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1954,-7.85,39.78,10703,Mafia Island 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-7.85,39.78,RUSI 10703,Mafia Island 
,,,,,Portal: GBIF. Source: RUSI
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1956,-14.22,40.77,8704,Pinda Island 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1950,-14.22,40.77,8505,Pinda Island 
