date,location,species,batch_id,dph,stand_dph,speed,time_sec,dist_cm,TL,SL,BD,PA
2015/03/11,Boston University Lab,Amphiprion percula,B 2:4,4,0.5,nd,nd,nd,4.43,3.95,1.13,2.96
2015/03/15,Boston University Lab,Amphiprion percula,B 2:4,8,1,2,149828,299656,nd,nd,nd,nd
2015/03/15,Boston University Lab,Amphiprion percula,B 2:4,8,1,4,241860,967440,nd,nd,nd,nd
2015/03/15,Boston University Lab,Amphiprion percula,B 2:4,8,1,10,87240,872400,nd,nd,nd,nd
2015/03/15,Boston University Lab,Amphiprion percula,B 2:4,8,1,nd,nd,nd,7.66,6.14,2.14,12.64
2015/03/15,Boston University Lab,Amphiprion percula,B 2:4,8,1,nd,nd,nd,7.86,6.34,2.22,12.42
2015/03/15,Boston University Lab,Amphiprion percula,B 2:4,8,1,nd,nd,nd,7.57,6.1,2.25,11.97
2015/03/15,Boston University Lab,Amphiprion percula,B 2:4,8,1,nd,nd,nd,7.7,6.23,2.12,12.31
2015/03/15,Boston University Lab,Amphiprion percula,B 2:4,8,1,nd,nd,nd,8,6.49,2.29,13.65
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,2,332,664,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,4,173,692,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,6,168,1008,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,8,0,0,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,10,0,0,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,2,2604,5208,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,4,396,1584,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,6,221,1326,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,8,0,0,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,10,0,0,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,2,1524,3048,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,4,1148,4592,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,6,462,2772,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,8,154,1232,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,10,0,0,nd,nd,nd,nd
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,nd,nd,nd,4.76,4.49,1.07,3.19
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,nd,nd,nd,4.76,4.5,1.04,3.12
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,nd,nd,nd,4.82,4.54,1.11,3.14
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,nd,nd,nd,4.81,4.54,1.08,3.1
2015/03/18,Boston University Lab,Amphiprion percula,C 2:4,0,0,nd,nd,nd,4.71,4.49,1.03,2.92
2015/03/18,Boston University Lab,Elacatinus lori,200,20,0.67,2,639,1278,6.28,5.65,0.84,2.85
2015/03/18,Boston University Lab,Elacatinus lori,200,20,0.67,4,293,1172,7.06,6.31,1.01,4
2015/03/18,Boston University Lab,Elacatinus lori,200,20,0.67,6,233,1398,7.09,6.37,1.01,4.19
2015/03/18,Boston University Lab,Elacatinus lori,200,20,0.67,8,18,144,7.28,6.52,1.07,4.39
2015/03/18,Boston University Lab,Elacatinus lori,200,20,0.67,10,38,380,nd,nd,nd,nd
2015/03/20,Boston University Lab,Elacatinus lori,46,0,0,2,305,610,nd,nd,nd,nd
2015/03/20,Boston University Lab,Elacatinus lori,46,0,0,4,255,1020,nd,nd,nd,nd
2015/03/20,Boston University Lab,Elacatinus lori,46,0,0,6,26,156,nd,nd,nd,nd
2015/03/20,Boston University Lab,Elacatinus lori,46,0,0,8,0,0,nd,nd,nd,nd
2015/03/20,Boston University Lab,Elacatinus lori,46,0,0,10,0,0,nd,nd,nd,nd
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,2,1857,3714,nd,nd,nd,nd
